LowToUp	UpToLow	Random	Saw	Step	Sin
1	0	8	0	8	34	
0	0	7	0	7	5	
0	0	7	0	7	5	
0	0	7	0	8	5	
0	0	7	0	7	5	
0	0	7	1	8	5	
0	0	8	1	7	5	
0	0	8	0	8	5	
0	0	8	0	8	5	
0	0	7	1	8	5	
0	0	6	0	7	5	
0	0	7	0	7	5	
0	0	74	0	6	5	
0	0	6	0	6	5	
0	0	7	0	6	5	
0	0	6	0	6	5	
0	0	6	0	6	5	
0	0	6	0	6	5	
0	0	6	0	6	5	
0	0	7	1	8	5	
0	0	8	0	13	6	
0	0	7	0	8	5	
0	0	6	0	6	5	
0	0	6	0	6	5	
0	0	6	0	6	5	
0	0	6	8	7	5	
0	0	7	0	7	5	
0	0	9	0	8	5	
0	0	7	0	7	5	
0	0	6	1	7	8	
0	0	6	0	8	5	
0	0	7	0	7	12	
0	0	8	0	7	5	
0	0	7	0	7	5	
0	0	7	0	8	5	
0	0	6	0	6	5	
0	0	7	0	6	5	
0	0	6	0	15	5	
0	0	7	0	6	6	
0	0	6	0	6	5	
0	0	6	0	6	5	
0	0	6	0	6	8	
0	0	7	0	6	5	
0	0	6	0	6	5	
0	0	6	0	6	7	
0	0	7	0	6	5	
0	0	6	0	6	5	
0	0	6	0	6	5	
0	0	6	0	6	5	
0	0	7	0	6	6	
0	0	6	0	6	5	
0	0	6	0	12	5	
0	0	7	0	6	6	
0	0	8	0	7	5	
0	0	6	0	6	5	
0	0	6	0	6	5	
0	0	6	0	10	5	
0	0	7	0	6	5	
0	0	6	0	6	5	
0	0	6	0	6	5	
0	0	6	0	6	5	
0	0	6	0	6	5	
0	0	6	0	6	5	
0	0	6	0	6	5	
0	0	6	0	6	5	
0	0	6	0	6	10	
0	0	6	0	6	5	
0	0	7	0	7	5	
0	0	6	0	6	5	
0	0	7	0	6	5	
0	0	6	0	6	5	
0	0	7	0	6	5	
0	0	6	0	6	5	
0	0	7	0	6	5	
0	0	7	1	7	5	
0	0	6	0	7	5	
0	0	6	0	7	5	
0	0	8	0	6	5	
0	0	6	0	6	5	
0	0	6	0	6	5	
0	0	6	0	6	5	
0	0	6	0	6	5	
1	0	6	1	8	5	
0	0	13	0	6	6	
0	0	6	0	7	5	
0	0	7	0	9	5	
0	0	7	1	7	5	
0	0	6	0	7	5	
1	0	8	0	8	5	
0	0	7	0	7	5	
0	0	7	0	7	5	
0	0	8	0	8	5	
0	0	8	1	7	5	
0	0	8	0	9	5	
0	1	17	0	9	5	
0	0	8	1	10	5	
0	0	9	0	7	5	
0	0	7	0	8	6	
0	0	7	0	8	5	
0	0	7	0	7	5	
